city,job_title,company_name,location,summary,salary
New+York,Research Staff Openings - Center for Biotechnology & Interdisciplinary Research,Rensselaer Polytechnic Institute,"Troy, NY 12180","Opportunities exist for researchers at many levels, from Technician through Research Scientist. Computer literacy, including ability to use a variety of...",Na
New+York,Scientist - Chemistry,Corning,"Painted Post, NY 14870","Work closely with research scientist to perform experiments, data collection, analysis and documentation in the area of micro/nano-fabrication....",Na
New+York,CITY RESEARCH SCIENTIST 1,New York City DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","Collect asset condition data and costs of various management strategies form other available data sources; Compile asset data such as operation, maintenance,...",Na
New+York,Data Analyst - Cardiology,Columbia University,"New York, NY","The successful candidate will play an integral role in cardiovascular precision medicine team science focused on the clinical data, electronic health record...",Na
New+York,Spring Data Analysis & Research Intern,New York State Office of the Attorney General,"New York, NY","Spring 2019 Undergraduate/Graduate Data Analysis and Research Internship. A background in economics, statistics, accounting, or data analytics....",Na
New+York,"Environmental Data Scientist, Bureau of Environmental Surveillance and Policy",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",#NAME?,Na
New+York,Data Analyst,New York City HUMAN RIGHTS COMMISSION,"Manhattan, NY","Advise, as needed, on data governance procedures that include data quality monitoring and data integrity.? The Data Analyst will also advise, as needed, on data...",Na
New+York,"Performance Analytics Supervisor, Data Scientist",iCrossing,"New York, NY 10016 (Gramercy area)","Apply data science principles such as decision trees, logistic regression, neural networks, clustering, data mining and other techniques....",Na
New+York,"Data Governance Coordinator, Bureau of HIV/AIDS Prevention and Control -Administration",New York City DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",#NAME?,Na
New+York,Data Scientist,AXIS Insurance,"New York, NY","Determine the structure, content, quality, and potential uses of the data through examination of source systems and data samples)....",Na
New+York,Data Scientist,Oath Inc,"New York, NY",Explore solutions to our hardest business problem from vast amount of Oath's first party data and sometimes in conjunction of certain third party data....,Na
New+York,Data Scientist,Vettery,"New York, NY","Vettery data scientists work on decision support, product optimization, and operation scaling projects across these areas....",Na
New+York,Data Scientist,DigitasLBi,"New York, NY",Data & Analysis – Data Scientist. Our Data Scientists deliver analytic solutions across a wide variety of client applications....,Na
New+York,Data Scientist Manager - Vice President,JP Morgan Chase,"New York, NY 10179 (Midtown area)","Working to build, investigate, test and develop models using traditional and alternative data sources. Partnering with data science team as well as client...",Na
New+York,Principal Data Scientist,Sartorius Corporation,"New York, NY",Principal Data Scientist. Analyze large amounts of data and build data driven predictive models. Solve business related problems using advanced data analysis...,Na
New+York,Associate Data Scientist,Church Pension Group,"New York, NY","The Associate Data Scientist will work closely with Senior Data Scientist to mine data, analyze and model variety data using advanced statistical methods for...",Na
New+York,Planning Associate,Mindshare,New York State,"Media Planners at Mindshare are part psychologists, part scientists, part artists, part entrepreneurs, and part politicians....",Na
New+York,Associate Research Scientist,Columbia University,"New York, NY","Associate Research Scientist for Cryo-Electron Microscopy Core Facility, Columbia University, New York, NY....",Na
New+York,"Research Scientist 2, Central Office;","Mental Health, Office of","Albany, NY","Perform data management and coding responsibilities related to State Operated and Medicaid services for the behavioral health population, including metric...",Na
New+York,Data Science Graduate Internship,Aetna,"New York, NY 10016 (Gramercy area)",The Data Science Internship serves as the pipeline for our full time Data Scientist role. Strong programming and data manipulation skills....,Na
New+York,Data Scientist - Journey Analytics,McKinsey & Company,"New York, NY 10022 (Midtown area)","Visit us to see what our data scientists have been working on:. You will lead a team of specialists, data scientists and data engineers under the mentorship of...",Na
New+York,Data Scientist - Catastrophe Analytics,Guy Carpenter,"New York, NY",Responsible for responding to client inquiries regarding data maintenance and resolving issues promptly. Analyze and interpret client’s exposure or claim data...,Na
New+York,Data Scientist - Bomoda,Weber Shandwick,"New York, NY","As a data scientist at Bomoda, you would be directly involved with the product team including computer scientists and data analysts, eliciting information from...",Na
New+York,Client Data Coordinator,Bright Power,"New York, NY",Client Data Coordinator. Lead calls with 3rd party data providers. The Client Data Coordinator ensures the reliability of the utility data critical to the...,Na
New+York,Laser Processing Scientist,Corning,"Corning, NY 14830",Data analysis skills:. We are seeking out dedicated scientists who strive to see their work make a difference....,Na
New+York,Senior Data Scientist Intern,IBM,"Armonk, NY 10504","You will work alongside consultants, managers, and data scientists to enhance business performance through analytics and data science focused initiatives....",Na
New+York,"Research Scientist, CCA",Simons Foundation,"New York, NY 10010 (Gramercy area)",Research Scientists will either develop algorithms and codes for computational astrophysics and/or for the analysis of large astronomy data sets or lead...,Na
New+York,"Data Scientist, Finance","Edison Software, Inc.","New York, NY",Machine-driven investment strategies are only as good as their data. You are expert at extracting signal out of flawed data to make valid inferences....,Na
New+York,Venture Capital Analyst - Data Scientist,Simon Property Group,"New York, NY 10017 (Midtown area)","ABOUT SIMON VENTURES Simon Ventures is the venture capital affiliate of Simon Property Group (Simon), an S&P 100 company as well as the largest publicly...",Na
New+York,Research Coordinator,Weill Cornell Medicine,"New York, NY","Under direction, monitors all data management, regulatory and financial aspects of clinical trial operations....",Na
New+York,Data Scientist,3Q Digital,"New York, NY","Data Wrangling, Feature Engineering, Data Visualization (discovery), Model Generation. Post-grad experience as a Data Scientist, preferably 5+ years of...",Na
New+York,Quality Control Scientist,"Ascent Pharmaceuticals, Inc.","Islip, NY","Analyze scientific data and prepare detailed QC reports; Ascent seeks Quality Control Scientist in Central Islip, NY to perform pharmaceutical laboratory...",Na
New+York,Data Scientist,Roche,"New York, NY","Identify novel biomarkers (molecular/digital) that predict drug response or patient prognosis using RWD (Real World Data), RNA-seq, exome-seq and other clinical...",Na
New+York,Data Scientist,Essence,"New York, NY","Data mining, data reduction*. Data prep and cleanup (missing data, outlier detection, duplications) from internet scale digital advertisement/survey response...",Na
New+York,Research Coordinator-HPR,Weill Cornell Medicine,"New York, NY","Under direction, conducts health services data collection and analysis for research projects. Participates in protocol development as it relates to health...",Na
New+York,Research Analyst- LRV,Lazard Ltd.,"New York, NY","Lazard Asset Management now operates from 18 cities across 13 countries. Our investment personnel manage US $222.4 billion across a wide range of global,...",Na
New+York,Data Scientist,S&P Global,"New York, NY",As a Data Scientist you will be responsible for building AI and Data Science models. You will work closely with other senior scientists to create state of the...,Na
New+York,Data Scientist,S&P Global Ratings,"New York, NY 10041 (Financial District area)","You will need to work closely with internal stakeholders and users, mentor junior scientists, and identify opportunities that lead to business impact and...",Na
New+York,Data Scientist/ Analytics Engineer (AI & ML),Tapestry,"New York, NY","Work with a team of world class data scientists, business analysts, statisticians and creative technologists. Identify new sources of raw data and work with the...",Na
New+York,Scientist I,Icon plc,"Whitesboro, NY",Scientist role within ICON:. We currently have several Scientist positions available in our Whitesboro NY facility....,Na
New+York,Mobile AC Applications Engineer/Scientist,Honeywell,"Buffalo, NY 14210 (Valley area)","15 Gathering and processing data. Interpret often complex scientific data, and clearly communicate results to diverse stakeholders....",Na
New+York,"Associate Scientist, Process Development, Vaccines",Pfizer Inc.,"Pearl River, NY 10965",The Associate Scientist will be responsible for working with fellow scientists to purify a variety of macromolecules including;...,Na
New+York,"Manager, HR Systems & Data",Springer Nature,"New York, NY","Bachelor’s degree with 5+ years’ experience working with HR systems and data. Serve as a master user for our HRIS and time and attendance systems, ensuring data...",Na
New+York,"Data Analyst, Growth Insights",LawTrades,"New York, NY","You have at least 3+ years of experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or...",Na
New+York,Data Scientist,Nielsen,"New York, NY",Data Scientist - 28523. Develop and maintain ongoing data exploratory analyses against internal and client-provided data....,Na
New+York,Plant Production Scientist,Edenworks,"Brooklyn, NY","Data analysis, experimental design, statistics, plant modeling, plant imaging, scientific computing. Ability to “think like plants” — to look at plant...",Na
New+York,Research Staff - Institute for Data Exploration and Applications,Rensselaer Polytechnic Institute,"Troy, NY 12180","We are a leading university-based research center devoted to the exploring how data science, artificial intelligence and machine learning can change the way...",Na
New+York,"Analyst, Research & Insights",Perion,"New York, NY","Leverage data from multiple resources (syndicated, secondary) to convey compelling stories that are tailored to persuade and inform....",Na
New+York,Data Scientist,7Park Data,"New York, NY","We are looking for a talented and creative Data Scientist to join our data science team. As a Data Scientist, you will be responsible for the following:....",Na
